cpa,yr_id,name,population,,,
Crest-Dehesa,2020,65 to 69,761,,,
Crest-Dehesa,2020,70 to 74,595,,,
Crest-Dehesa,2020,75 to 79,394,,,
Crest-Dehesa,2020,80 to 84,244,,,
Crest-Dehesa,2020,85 and Older,217,,,
Del Mar Mesa,2020,Under 5,55,,,
Del Mar Mesa,2020,5 to 9,104,,,
Del Mar Mesa,2020,10 to 14,127,,,
Del Mar Mesa,2020,15 to 17,146,,,
Del Mar Mesa,2020,18 and 19,78,,,
Del Mar Mesa,2020,20 to 24,114,,,
Del Mar Mesa,2020,25 to 29,31,,,
Del Mar Mesa,2020,30 to 34,34,,,
Del Mar Mesa,2020,35 to 39,40,,,
Del Mar Mesa,2020,40 to 44,109,,,
Del Mar Mesa,2020,45 to 49,170,,,
Del Mar Mesa,2020,50 to 54,186,,,
Del Mar Mesa,2020,55 to 59,133,,,
Del Mar Mesa,2020,60 and 61,35,,,
Del Mar Mesa,2020,62 to 64,57,,,
Del Mar Mesa,2020,65 to 69,46,,,
Del Mar Mesa,2020,70 to 74,42,,,
Del Mar Mesa,2020,75 to 79,16,,,
Del Mar Mesa,2020,80 to 84,16,,,
Del Mar Mesa,2020,85 and Older,9,,,
Desert,2020,Under 5,138,,,
Desert,2020,5 to 9,167,,,
Desert,2020,10 to 14,172,,,
Desert,2020,15 to 17,115,,,
Desert,2020,18 and 19,60,,,
Desert,2020,20 to 24,126,,,
Desert,2020,25 to 29,172,,,
Desert,2020,30 to 34,153,,,
Desert,2020,35 to 39,151,,,
Desert,2020,40 to 44,149,,,
Desert,2020,45 to 49,132,,,
Desert,2020,50 to 54,218,,,
Desert,2020,55 to 59,322,,,
Desert,2020,60 and 61,166,,,
Desert,2020,62 to 64,277,,,
Desert,2020,65 to 69,459,,,
Desert,2020,70 to 74,436,,,
Desert,2020,75 to 79,296,,,
Desert,2020,80 to 84,172,,,
Desert,2020,85 and Older,148,,,
Downtown,2020,Under 5,1016,,,
Downtown,2020,5 to 9,622,,,
Downtown,2020,10 to 14,713,,,
Downtown,2020,15 to 17,458,,,
Downtown,2020,18 and 19,347,,,
Downtown,2020,20 to 24,2745,,,
Downtown,2020,25 to 29,6355,,,
Downtown,2020,30 to 34,6435,,,
Downtown,2020,35 to 39,4807,,,
Downtown,2020,40 to 44,3348,,,
Downtown,2020,45 to 49,2666,,,
Downtown,2020,50 to 54,2739,,,
Downtown,2020,55 to 59,3020,,,
Downtown,2020,60 and 61,1174,,,
Downtown,2020,62 to 64,1683,,,
Downtown,2020,65 to 69,2630,,,
Downtown,2020,70 to 74,1660,,,
Downtown,2020,75 to 79,1263,,,
Downtown,2020,80 to 84,681,,,
Downtown,2020,85 and Older,534,,,
East Elliott,2020,Under 5,12,,,
East Elliott,2020,5 to 9,2,,,
East Elliott,2020,10 to 14,4,,,
East Elliott,2020,15 to 17,2,,,
East Elliott,2020,18 and 19,3,,,
East Elliott,2020,20 to 24,6,,,
East Elliott,2020,25 to 29,5,,,
East Elliott,2020,30 to 34,7,,,
East Elliott,2020,35 to 39,8,,,
East Elliott,2020,40 to 44,9,,,
East Elliott,2020,45 to 49,8,,,
East Elliott,2020,50 to 54,8,,,
East Elliott,2020,55 to 59,3,,,
East Elliott,2020,60 and 61,7,,,
